#,mac,name,ipaddress
233;78:ca:39:5f:89:22;None;172.16.59.40
234;7c:05:07:87:af:94;None;192.168.40.247
235;40:a6:d9:78:61:60;None;172.16.56.117
236;70:77:81:be:28:ef;None;172.16.52.56
237;34:e2:fd:4a:37:15;None;172.16.58.92
238;44:03:a7:e8:7d:e8;None;172.16.48.66
239;7c:0b:c6:83:fa:5c;None;172.16.51.10
240;68:5b:35:b1:8c:36;None;192.168.8.51
241;8c:bf:a6:d0:6a:40;None;172.16.52.129
242;94:de:80:50:c0:8e;None;172.16.21.26
243;64:89:9a:32:d5:cc;None;172.16.55.96
244;64:27:37:77:8a:e6;None;172.16.50.1
245;00:24:97:aa:76:7d;None;10.200.4.114
246;00:21:a0:2d:90:38;None;10.200.3.216
247;b8:5a:73:83:d7:1d;None;172.16.60.211
248;cc:c3:ea:6b:ad:e9;None;172.16.50.222
249;90:68:c3:e1:05:5f;None;172.16.50.61
250;88:1f:a1:ca:9e:04;None;172.16.56.138
251;70:f9:27:ad:82:cc;None;172.16.57.61
252;b4:52:7e:3c:86:d9;None;192.168.8.92
253;5c:97:f3:6f:20:a7;None;172.16.57.3
254;2c:d0:5a:9b:27:51;None;172.16.50.249
255;08:fd:0e:65:3a:8a;None;172.16.53.229
256;c0:8c:60:27:0e:9b;None;172.16.48.208
257;28:cf:e9:b0:7e:6e;None;172.16.55.11
258;cc:fa:00:b0:f9:44;None;172.16.62.248
259;e4:58:e7:04:20:8a;None;172.16.52.142
260;10:3b:59:28:f4:10;None;172.16.61.46
261;88:53:2e:37:a4:f6;None;172.16.53.222
262;00:1a:6b:46:30:f5;None;192.168.30.129
263;00:21:a0:86:5e:0c;None;10.200.1.109
264;00:80:77:d1:69:c9;None;192.168.7.121
265;5c:97:f3:89:3b:66;None;172.16.62.225
266;50:06:04:73:11:58;None;10.200.1.65
267;d8:9d:67:95:ea:73;None;192.168.40.170
268;c8:2a:14:37:c8:8c;None;192.168.10.80
269;bc:4c:c4:52:c5:db;None;192.168.9.155
270;b8:ee:65:d0:81:14;None;172.16.49.249
271;98:e7:f5:de:dc:90;None;172.16.56.238
272;00:1a:6b:46:2b:1b;None;192.168.70.13
273;18:67:b0:64:3e:19;None;172.16.50.16
274;94:de:80:50:bd:93;None;172.16.21.30
275;c0:8c:60:27:19:62;None;172.16.48.154
276;00:12:7f:cc:07:40;None;192.168.17.211
